2024-05-07 00:13:27 [main] INFO  c.h.s.SpringBootRestApiPostgresqlApplication - Starting SpringBootRestApiPostgresqlApplication using Java 17.0.10 with PID 11844 (C:\Users\HP-Laptop\Desktop\Cloud\Laborator 2\target\classes started by HP-Laptop in C:\Users\HP-Laptop\Desktop\Cloud\Laborator 2)
2024-05-07 00:20:11 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@57eb2555, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@490f2fad, org.springframework.security.web.context.SecurityContextHolderFilter@f9919a2, org.springframework.security.web.header.HeaderWriterFilter@1b18fa79, org.springframework.security.web.csrf.CsrfFilter@63767d, org.springframework.security.web.authentication.logout.LogoutFilter@1eaf4e77, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@5dfb65d5, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@4dfe56dc, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@3ed3e66d, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@56e9126f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@54d116d5, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4f5d7091, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@e9947af, org.springframework.security.web.access.ExceptionTranslationFilter@103a1ad3, org.springframework.security.web.access.intercept.AuthorizationFilter@16422f27]
2024-05-07 00:20:11 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2024-05-07 00:20:11 [main] INFO  c.h.s.SpringBootRestApiPostgresqlApplication - Started SpringBootRestApiPostgresqlApplication in 9.259 seconds (process running for 9.787)
2024-05-07 00:20:19 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-07 00:20:19 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-05-07 00:20:19 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2024-05-07 00:25:44 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-05-07 00:25:44 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-05-07 00:25:47 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-05-07 00:25:56 [main] INFO  c.h.s.SpringBootRestApiPostgresqlApplication - Starting SpringBootRestApiPostgresqlApplication using Java 17.0.10 with PID 14888 (C:\Users\HP-Laptop\Desktop\Cloud\Laborator 2\target\classes started by HP-Laptop in C:\Users\HP-Laptop\Desktop\Cloud\Laborator 2)
2024-05-07 00:25:56 [main] INFO  c.h.s.SpringBootRestApiPostgresqlApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-07 00:25:57 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-07 00:25:57 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 176 ms. Found 2 JPA repository interfaces.
2024-05-07 00:25:58 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2024-05-07 00:25:58 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-05-07 00:25:58 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.15]
2024-05-07 00:25:58 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-07 00:25:58 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2532 ms
2024-05-07 00:25:59 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-07 00:25:59 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.13.Final
2024-05-07 00:25:59 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2024-05-07 00:25:59 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-07 00:25:59 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-05-07 00:26:01 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@5c839677
2024-05-07 00:26:01 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-05-07 00:26:01 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-05-07 00:26:03 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-07 00:26:04 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-07 00:26:05 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-05-07 00:26:05 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: e8f54c52-dc30-4269-8d9e-9fa8faf23174

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2024-05-07 00:26:06 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@14af9f51, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2bfe4df9, org.springframework.security.web.context.SecurityContextHolderFilter@6aa85fcf, org.springframework.security.web.header.HeaderWriterFilter@77da2881, org.springframework.security.web.csrf.CsrfFilter@16ca4532, org.springframework.security.web.authentication.logout.LogoutFilter@128ebca1, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@1ec98548, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@671c71e8, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@4f466207, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@4a5eb613, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1e14ed59, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5fdcc63f, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@121b7a95, org.springframework.security.web.access.ExceptionTranslationFilter@bb896e9, org.springframework.security.web.access.intercept.AuthorizationFilter@14f1545c]
2024-05-07 00:26:06 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2024-05-07 00:26:06 [main] INFO  c.h.s.SpringBootRestApiPostgresqlApplication - Started SpringBootRestApiPostgresqlApplication in 10.879 seconds (process running for 11.453)
2024-05-07 00:26:31 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-07 00:26:31 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-05-07 00:26:31 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2024-05-07 00:29:26 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-05-07 00:29:26 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-05-07 00:29:44 [main] INFO  c.h.s.SpringBootRestApiPostgresqlApplication - Starting SpringBootRestApiPostgresqlApplication using Java 17.0.10 with PID 2188 (C:\Users\HP-Laptop\Desktop\Cloud\Laborator 2\target\classes started by HP-Laptop in C:\Users\HP-Laptop\Desktop\Cloud\Laborator 2)
2024-05-07 00:29:44 [main] INFO  c.h.s.SpringBootRestApiPostgresqlApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-07 00:29:45 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-07 00:29:45 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 60 ms. Found 2 JPA repository interfaces.
2024-05-07 00:29:46 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2024-05-07 00:29:46 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-05-07 00:29:46 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.15]
2024-05-07 00:29:46 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-07 00:29:46 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1817 ms
2024-05-07 00:29:46 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-07 00:29:46 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.13.Final
2024-05-07 00:29:46 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2024-05-07 00:29:47 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-07 00:29:47 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-05-07 00:29:49 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@77bb916f
2024-05-07 00:29:49 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-05-07 00:29:49 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-05-07 00:29:50 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-07 00:29:52 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-07 00:29:53 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-05-07 00:29:54 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@411e567e, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4e58eda2, org.springframework.security.web.context.SecurityContextHolderFilter@15e881c0, org.springframework.security.web.header.HeaderWriterFilter@7021bb55, org.springframework.security.web.csrf.CsrfFilter@6c8f5262, org.springframework.security.web.authentication.logout.LogoutFilter@1b641c97, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@3c3357c7, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@1bdb6b36, org.springframework.security.oauth2.client.web.OAuth2LoginAuthenticationFilter@506d7fed, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@6cd8c373, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@75f9a35a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@159a32a4, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@42bbd21c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7acbd3d0, org.springframework.security.oauth2.client.web.OAuth2AuthorizationCodeGrantFilter@655d5285, org.springframework.security.web.access.ExceptionTranslationFilter@5c450960, org.springframework.security.web.access.intercept.AuthorizationFilter@4c5ae26d]
2024-05-07 00:29:54 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2024-05-07 00:29:54 [main] INFO  c.h.s.SpringBootRestApiPostgresqlApplication - Started SpringBootRestApiPostgresqlApplication in 10.226 seconds (process running for 10.769)
2024-05-07 00:29:54 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-07 00:29:54 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-05-07 00:29:54 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 9 ms
2024-05-07 00:31:18 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-05-07 00:31:18 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-05-07 00:31:19 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-05-07 00:33:33 [main] INFO  c.h.s.SpringBootRestApiPostgresqlApplication - Starting SpringBootRestApiPostgresqlApplication using Java 17.0.10 with PID 13764 (C:\Users\HP-Laptop\Desktop\Cloud\Laborator 2\target\classes started by HP-Laptop in C:\Users\HP-Laptop\Desktop\Cloud\Laborator 2)
2024-05-07 00:33:33 [main] INFO  c.h.s.SpringBootRestApiPostgresqlApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-07 00:33:33 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-07 00:33:33 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 63 ms. Found 2 JPA repository interfaces.
2024-05-07 00:33:34 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2024-05-07 00:33:34 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-05-07 00:33:34 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.15]
2024-05-07 00:33:34 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-07 00:33:34 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1693 ms
2024-05-07 00:33:35 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-07 00:33:35 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.13.Final
2024-05-07 00:33:35 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2024-05-07 00:33:35 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-07 00:33:35 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-05-07 00:33:37 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@3193e21d
2024-05-07 00:33:37 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-05-07 00:33:37 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-05-07 00:33:38 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-07 00:33:40 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-07 00:33:40 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-05-07 00:33:41 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: ddd9cfab-295f-4a6b-bf30-d1a37a2674a6

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2024-05-07 00:33:41 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@23ee31b8, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5fc42998, org.springframework.security.web.context.SecurityContextHolderFilter@669b8190, org.springframework.security.web.header.HeaderWriterFilter@1e14ed59, org.springframework.security.web.csrf.CsrfFilter@765d67dd, org.springframework.security.web.authentication.logout.LogoutFilter@a3f1f32, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@119f035f, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@103a1ad3, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@16422f27, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@4f466207, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@27f8f1cc, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@671c71e8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5dfb65d5, org.springframework.security.web.access.ExceptionTranslationFilter@6aa85fcf, org.springframework.security.web.access.intercept.AuthorizationFilter@16eca98a]
2024-05-07 00:33:41 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2024-05-07 00:33:41 [main] INFO  c.h.s.SpringBootRestApiPostgresqlApplication - Started SpringBootRestApiPostgresqlApplication in 9.322 seconds (process running for 9.813)
2024-05-07 00:33:45 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-07 00:33:45 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-05-07 00:33:45 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2024-05-07 00:35:15 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-05-07 00:35:15 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
